geo_code,geo_name,country_code,n_indicators_with_any_data,mean_avail_ratio,median_avail_ratio,pct_indicators_ge_0_7,pct_indicators_ge_0_9,flag_rate,avail_HLTH_RS_BDS1_HBEDT_TOTAL,avail_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,avail_SDG_11_60,avail_SDG_17_60_VHCN_FX_TOTAL,avail_TRNG_LFSE_01_T_Y25-74,avail_URB_CEDUC_TE1026V,avail_URB_CLMA_EC1010V,avail_URB_CLMA_EC1177V,avail_URB_CPOP1_DE1001V,avail_URB_CPOPCB_DE2009V,avail_URB_CTOUR_CR2001V,avail_URB_CTRAN_TT1057I,avail_WHO_NO2,avail_WHO_PM10,avail_WHO_PM25
UK014C,Leicester,UK,9,0.5246913580246914,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.10526315789473684,,0.5,,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
UK015C,Aberdeen,UK,9,0.5246913580246914,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.05263157894736842,,0.5,,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
UK016C,Cambridge,UK,9,0.5246913580246914,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.10526315789473684,,0.5,,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
UK017C,Exeter,UK,9,0.5246913580246914,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.10526315789473684,,0.5,,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
UK018C,Lincoln,UK,10,0.4833333333333333,0.4444444444444444,0.1,0.1,0.10256410256410256,,0.5,,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.4444444444444444,,,
UK019C,Gravesham,UK,8,0.5208333333333334,0.4444444444444444,0.125,0.125,0.12121212121212122,,0.5,,1.0,0.5555555555555556,,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
UK020C,Stevenage,UK,8,0.5208333333333334,0.4444444444444444,0.125,0.125,0.12121212121212122,,0.5,,1.0,0.5555555555555556,,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
UK021C,Wrexham,UK,9,0.5246913580246914,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.10526315789473684,,0.5,,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
UK022C,Portsmouth,UK,9,0.5246913580246914,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.10526315789473684,,0.5,,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
UK023C,Worcester,UK,9,0.5246913580246914,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.10526315789473684,,0.5,,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,,0.4444444444444444,,,
