geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTRAN_TT1057I
DE052C,,1966.3333333333333,36542.833333333336,102588.57142857143,38133.333333333336,462.095
DE053C,2765.1666666666665,1892.3333333333333,31914.0,72384.0,15640.0,433.2025
DE054C,38770.333333333336,2504.0,39810.0,96366.0,,347.04
DE055C,9535.333333333334,1705.3333333333333,34773.333333333336,92182.71428571429,,401.8175
DE056C,12724.333333333334,1291.3333333333333,35186.166666666664,73940.42857142857,24100.0,430.8825
DE057C,0.0,1537.0,27796.5,69610.66666666667,10800.0,501.175
DE058C,3368.3333333333335,1488.3333333333333,34826.166666666664,75265.71428571429,20133.333333333332,495.755
DE059C,12185.666666666666,1188.6666666666667,37268.0,80645.42857142857,,428.2675
DE060C,0.0,1638.0,27923.5,72814.42857142857,,476.01
DE061C,2112.0,2091.0,25961.5,63751.666666666664,4875.0,434.395
DE062C,9350.0,1152.6666666666667,32842.5,68600.66666666667,,467.825
DE063C,5434.666666666667,968.0,32532.333333333332,72909.85714285714,,475.35249999999996
DE064C,4603.0,1273.3333333333333,35671.166666666664,90714.0,,453.1975
DE065C,,977.3333333333334,30640.0,68729.71428571429,87575.0,495.78999999999996
DE066C,5472.666666666667,1080.3333333333333,31249.5,69046.0,18366.666666666668,463.1075
DE067C,,1069.0,20585.833333333332,49254.42857142857,,495.6775
DE068C,2282.0,1868.0,23965.0,59349.166666666664,60000.0,398.4825
DE069C,2277.1666666666665,830.0,33028.333333333336,61325.0,,513.1675
DE070C,4147.666666666667,1172.3333333333333,29917.666666666668,60264.666666666664,18500.0,383.89750000000004
DE071C,1485.3333333333333,2200.0,21449.333333333332,65618.71428571429,19133.333333333332,401.5875
DE072C,6333.5,934.6666666666666,24985.0,57964.42857142857,17700.0,526.0075
DE073C,3942.0,738.0,33374.833333333336,64822.57142857143,27400.0,488.13
DE074C,3018.0,1239.6666666666667,25352.5,58224.28571428572,57300.0,436.4075
DE075C,10250.5,1376.0,28578.833333333332,59300.833333333336,32800.0,371.1975
DE076C,1721.5,1702.3333333333333,25104.0,53180.166666666664,,517.0074999999999
DE077C,302.0,1062.6666666666667,24314.5,50757.333333333336,,505.435
DE078C,11895.833333333334,899.6666666666666,25280.333333333332,52744.666666666664,,446.0675
DE079C,1548.0,1982.3333333333333,33467.833333333336,80198.5,13483.333333333334,477.095
DE080C,17618.833333333332,16633.0,208621.66666666666,693515.1428571428,147420.0,425.2875
DE081C,27947.5,8564.833333333334,153434.66666666666,401496.14285714284,95216.66666666667,400.9925
DE082C,5732.5,10037.333333333334,103694.16666666667,331918.5714285714,129416.66666666667,428.525
DE083C,61829.5,5350.5,157573.66666666666,346370.14285714284,,391.6675
DE084C,9569.833333333334,5674.333333333333,106824.33333333333,265450.5714285714,26300.0,442.0475
DE085C,19135.833333333332,4996.25,124669.5,255675.7142857143,52075.0,439.685
DE086C,59643.5,6554.8,117109.33333333333,257225.85714285713,75800.0,386.025
DE087C,5434.0,6779.0,100792.66666666667,238819.7142857143,57350.0,467.3175
DE088C,,6067.0,91397.16666666667,220855.57142857142,87566.66666666667,487.5375
DE089C,12824.666666666666,4814.666666666667,99667.66666666667,229319.42857142858,41240.0,405.89250000000004
DE090C,3617.5,5553.666666666667,82639.0,207274.42857142858,53600.0,476.0575
DE091C,31291.0,5641.666666666667,92878.33333333333,215176.85714285713,59360.0,383.0575
