freq,unit,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC,EU27_2020,2021,49.7,i,,EU27_2020,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EU27_2020,2022,49.1,i,,EU27_2020,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EU27_2020,2023,47.7,i,,EU27_2020,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2015,40.6,b,,FI,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2016,42.1,,,FI,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2017,40.5,,,FI,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2018,42.3,,,FI,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2019,43.5,,,FI,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2020,42.1,,,FI,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2021,39.0,,,FI,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2022,43.7,,,FI,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FI,2023,44.8,,,FI,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2015,40.7,,,FR,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2016,39.7,e,,FR,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2017,40.2,e,,FR,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2018,40.7,e,,FR,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2019,41.0,e,,FR,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2020,39.3,e,,FR,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2021,40.9,e,,FR,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2022,40.1,ep,,FR,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,FR,2023,40.3,e,,FR,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2015,18.0,,,HR,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2016,21.0,,,HR,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2017,23.6,,,HR,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2018,25.3,,,HR,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2019,30.2,,,HR,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2020,29.5,,,HR,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2021,31.4,,,HR,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2022,34.2,,,HR,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HR,2023,36.0,,,HR,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HU,2015,32.2,,,HU,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HU,2016,34.7,,,HU,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HU,2017,35.0,,,HU,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HU,2018,37.4,,,HU,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
