freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,TT1057I,DE005C,2018,320.52,,,DE005C,DE,,2018,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE005C,2019,319.66,,,DE005C,DE,,2019,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE005C,2020,317.9,,,DE005C,DE,,2020,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE005C,2021,324.03,,,DE005C,DE,,2021,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE006C,2015,415.67,,,DE006C,DE,,2015,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE006C,2016,415.08,,,DE006C,DE,,2016,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE006C,2017,420.32,,,DE006C,DE,,2017,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE006C,2018,424.75,,,DE006C,DE,,2018,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE006C,2019,428.34,,,DE006C,DE,,2019,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE006C,2020,433.02,,,DE006C,DE,,2020,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE006C,2021,439.06,,,DE006C,DE,,2021,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE007C,2015,356.31,,,DE007C,DE,,2015,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE007C,2016,353.26,,,DE007C,DE,,2016,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE007C,2017,355.73,,,DE007C,DE,,2017,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE007C,2018,355.16,,,DE007C,DE,,2018,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE007C,2019,356.33,,,DE007C,DE,,2019,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE007C,2020,354.93,,,DE007C,DE,,2020,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE007C,2021,361.11,,,DE007C,DE,,2021,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE008C,2015,345.55,,,DE008C,DE,,2015,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE008C,2016,341.92,,,DE008C,DE,,2016,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE008C,2017,341.55,,,DE008C,DE,,2017,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE008C,2018,340.45,,,DE008C,DE,,2018,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE008C,2019,341.11,,,DE008C,DE,,2019,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE008C,2020,341.11,,,DE008C,DE,,2020,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE008C,2021,343.47,,,DE008C,DE,,2021,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE009C,2015,351.76,,,DE009C,DE,,2015,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE009C,2016,350.56,,,DE009C,DE,,2016,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE009C,2017,351.74,,,DE009C,DE,,2017,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,DE009C,2018,351.34,,,DE009C,DE,,2018,cars_per_1000,Number of registered cars per 1000 population
