freq,unit,inet_tec,Internet technologies,terrtypo,Territorial typology,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,2021,93.8,,,ES,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,2022,93.3,,,ES,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,2023,96.3,,,ES,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,2019,50.3,,,EU27_2020,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,2020,59.5,,,EU27_2020,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,2021,69.7,,,EU27_2020,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,2022,73.2,,,EU27_2020,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,2023,78.6,,,EU27_2020,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,2019,61.8,,,FI,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,2020,66.7,,,FI,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,2021,68.0,,,FI,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,2022,70.8,,,FI,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,2023,77.7,,,FI,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,2019,43.8,,,FR,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,2020,52.6,,,FR,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,2021,63.4,,,FR,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,2022,73.4,,,FR,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,2023,81.4,,,FR,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,2019,43.2,,,HR,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,2020,46.5,,,HR,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,2021,52.3,,,HR,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,2022,61.5,,,HR,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
