freq,unit,inet_tec,Internet technologies,terrtypo,Territorial typology,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc,is_missing,zscore,modified_zscore,is_outlier_zscore,is_outlier_mod_zscore,is_outlier_iqr,is_outlier_range,is_outlier_temporal,yoy_change_pct,iqr_lower,iqr_upper,is_any_outlier,outlier_methods
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2019,88.6,,,NL,Netherlands,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.6124660999964866,0.38096759259259233,False,False,False,False,False,,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2020,89.8,,,NL,Netherlands,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.6723921181153676,0.455912037037037,False,False,False,False,False,1.3544018058690765,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2021,90.6,,,NL,Netherlands,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.7123427968612879,0.5058749999999997,False,False,False,False,False,0.8908685968819663,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2022,97.8,,,NL,Netherlands,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,1.0718989055745727,0.9555416666666666,False,False,False,False,False,7.947019867549665,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2023,98.3,,,NL,Netherlands,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,1.096868079790773,0.9867685185185185,False,False,False,False,False,0.5112474437627856,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2019,83.0,,,PT,Portugal,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.33281134877504326,0.03122685185185186,False,False,False,False,False,,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2020,86.6,,,PT,Portugal,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.5125894031316853,0.25606018518518486,False,False,False,False,False,4.337349397590362,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2021,90.5,,,PT,Portugal,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.7073489620180481,0.49962962962962976,False,False,False,False,False,4.503464203233265,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2022,93.0,,,PT,Portugal,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.8321948330990497,0.655763888888889,False,False,False,False,False,2.7624309392265234,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2023,94.2,,,PT,Portugal,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.8921208512179306,0.7307083333333337,False,False,False,False,False,1.2903225806451646,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2019,77.1,,,SE,Sweden,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.038175093023879184,-0.33725000000000044,False,False,False,False,False,,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2020,80.5,,,SE,Sweden,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.20796547769404167,-0.12490740740740744,False,False,False,False,False,4.409857328145272,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2021,82.5,,,SE,Sweden,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.30784217455884294,0.0,False,False,False,False,False,2.4844720496894457,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2022,81.6,,,SE,Sweden,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.2628976609696821,-0.05620833333333371,False,False,False,False,False,-1.090909090909098,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2023,88.5,,,SE,Sweden,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.6074722651532468,0.3747222222222223,False,False,False,False,False,8.455882352941192,18.999999999999993,137.4,False,
