cluster_id,feature_name,mean,median,z_mean
1,COUNTRY_SDG_11_60,60.95235294117647,68.31,0.9180829233875636
1,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,56.785000000000004,62.0,-0.5904233028830901
1,COUNTRY_TRNG_LFSE_01_T_Y25-74,8.951666666666666,6.96,-0.23978940187363024
1,WHO_NO2,32.123333333333335,33.16,0.2845437266508178
1,WHO_PM10,18.60391304347826,18.89,-0.5114756717064286
1,WHO_PM25,11.20695652173913,12.35,-0.3864699953276527
2,URB_CEDUC_TE1026V,111459.898,114089.0,0.34190478961813064
2,URB_CLMA_EC1010V,39541.31833333333,37251.775,-0.14683718438297447
2,URB_CLMA_EC1177V,752551.7366666667,807329.83,0.6373707559131131
2,URB_CPOP1_DE1001V,1539885.6849999998,1640850.5,0.4418584099204419
2,URB_CPOPCB_DE2009V,328838.6566666667,355380.5,0.6763855911667045
2,URB_CTOUR_CR2001V,12922110.083333334,12811853.0,1.162606367860999
2,URB_CTRAN_TT1057I,337.276,345.14,-0.6813230863100915
2,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,518.8533333333334,516.125,-0.07941038106135627
2,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,67.42,62.275,0.4101763673686566
2,COUNTRY_SDG_11_60,49.98666666666667,49.754999999999995,0.14780325795197805
2,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,75.66666666666667,73.76,0.5462845341294965
2,COUNTRY_TRNG_LFSE_01_T_Y25-74,12.9,8.2,0.43052512541932547
2,WHO_NO2,28.018333333333334,27.52,-0.3268078345030744
2,WHO_PM10,20.669999999999998,19.520000000000003,-0.1765311857337407
2,WHO_PM25,11.313333333333334,11.785,-0.3640344923890384
3,URB_CEDUC_TE1026V,82473.36055555557,66950.33499999999,-0.13789743481669545
3,URB_CLMA_EC1010V,51526.83944444446,46004.665,0.0621040556037557
3,URB_CLMA_EC1177V,361302.6852631579,326934.44,-0.32520487636509254
3,URB_CPOP1_DE1001V,879129.4685000001,766299.94,-0.27958178209445755
3,URB_CPOPCB_DE2009V,180866.78473684212,133433.5,-0.12929762514804286
3,URB_CTOUR_CR2001V,3317075.328461538,3132110.38,-0.382913319206055
3,URB_CTRAN_TT1057I,404.39166666666665,423.685,-0.13444775974963272
3,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,412.41050000000007,338.605,-0.5948257197079247
3,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,77.8425,80.66,1.0121951658396566
3,COUNTRY_SDG_11_60,42.54100000000001,40.32,-0.37521422452667963
3,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,77.246,76.83000000000001,0.6413630358819126
3,COUNTRY_TRNG_LFSE_01_T_Y25-74,14.839500000000001,14.31,0.759796976584717
3,WHO_NO2,26.350500000000004,25.380000000000003,-0.5751957789800126
3,WHO_PM10,19.6135,19.240000000000002,-0.3478060918131459
3,WHO_PM25,11.174,11.36,-0.39342072198738137
4,URB_CEDUC_TE1026V,319567.44,319567.44,3.7866232822851935
4,URB_CLMA_EC1010V,322626.78,322626.78,4.788136175099592
4,URB_CLMA_EC1177V,2185399.11,2185399.11,4.1625523797327135
4,URB_CPOP1_DE1001V,4989252.33,4989252.33,4.208015538006411
4,URB_CPOPCB_DE2009V,1017323.0,1017323.0,4.425072911836761
4,URB_CTOUR_CR2001V,20893426.0,20893426.0,2.445248856456943
4,URB_CTRAN_TT1057I,444.27,444.27,0.19049092666268286
4,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,294.22,294.22,-1.1671253727201736
4,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,65.82,65.82,0.3177580341900905
4,COUNTRY_SDG_11_60,37.91,37.91,-0.7005167219111099
4,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,92.82,92.82,1.578943820786177
4,COUNTRY_TRNG_LFSE_01_T_Y25-74,10.43,10.43,0.011189486141925541
4,WHO_NO2,33.67,33.67,0.5148864991846432
4,WHO_PM10,19.29,19.29,-0.4002504194200437
4,WHO_PM25,10.58,10.58,-0.5186988586961052
